SourceSystemName,SourceAccountId,AccountName,UserName,Address,PlatformName,SafeName,AccountTypeName,SourceOfRecord,CurrentStage,CurrentStatus,RiskLevel,OwnerName,BusinessUnit,TargetRemediationDate,ActualCompletionDate,LastUpdated,Notes
CyberArk Privilege Cloud (SaaS),15_5,svc-sqlreports-prod,sql_svc_rpt,sql-prod-03.corp.local,WinDomain-SQLService,Finance-DB-Safe,Database Account,Local Database,Managed / Rotation Enabled,Complete,High,Raj Patel,Finance Reporting,2026-06-15,2026-06-10,2026-08-20 09:14:02,Initial rotation confirmed; PSM session recording enabled
CyberArk Privilege Cloud (SaaS),15_4,WINDOM-appsvc01,appsvc01,app01.corp.local,WinDomain-Service,AppTeam-Safe,Application/Service Account,Active Directory,Onboarded to Vault,In Progress,Medium,Maria Chen,Application Engineering,2026-09-01,,2026-08-19 14:02:11,Awaiting CPM verification of manual rotation
CyberArk Privilege Cloud (SaaS),15_3,aws-prod-iam-deploy,,,AWS-IAM-AccessKey,Cloud-Safe,Cloud IAM,Other,Assessed / Prioritized,Blocked,Critical,,Cloud Platform,2026-08-01,,2026-08-18 11:45:33,Blocked: owning team not yet identified; escalated to Cloud Platform lead
CyberArk Privilege Cloud (SaaS),13_3,,,,,,,,Discovered,Not Started,,,,,,2026-08-15 03:00:12,
CyberArk Self-Hosted Vault,210_18,root@web-prod-12,root,web-prod-12.corp.local,Unix-SSHKeys,Unix-Root-Safe,Local/OS Account,Local OS,Verified / Compliant,Complete,Critical,Devon Ashworth,Infrastructure,2026-05-01,2026-04-28,2026-08-21 07:31:55,Quarterly access review completed; SSH key rotation confirmed
CyberArk Self-Hosted Vault,210_22,svc-oracle-fin,oracle_svc,ora-fin-01.corp.local,Oracle-Database,Oracle-DB-Safe,Database Account,Local Database,Managed / Rotation Enabled,In Progress,High,Priya Nair,Finance Systems,2026-09-10,,2026-08-20 16:08:44,First automated rotation scheduled for next maintenance window
CyberArk Self-Hosted Vault,318_2,admin@core-switch-01,admin,10.12.4.1,NetworkDevice-Cisco,Network-Safe,Network Device,Other,Onboarded to Vault,Complete,Medium,Tom Reilly,Network Operations,2026-07-15,2026-07-12,2026-08-17 10:22:09,Enable-mode credential onboarded as separate account; see NET-2201
CyberArk Self-Hosted Vault,318_5,,,,,,,,Discovered,Not Started,,,,,,2026-08-15 03:04:47,
CyberArk Privilege Cloud (SaaS),21_9,legacy-ftp-svc,ftpsvc,ftp01.corp.local,WinLocal-Service,Legacy-Safe,Local/OS Account,Local OS,Assessed / Prioritized,Risk Accepted / Excluded,Low,Angela Byrne,IT Operations,,,2026-08-12 13:55:00,"Risk accepted by A. Byrne 2026-08-12: system scheduled for decommission Q4 2026, compensating network segmentation in place"
CyberArk Self-Hosted Vault,210_31,svc-jenkins-deploy,jenkins_deploy,ci-prod-01.corp.local,DevOps-CIDeploy,DevOps-Safe,DevOps Secret,Other,Managed / Rotation Enabled,Complete,High,Sam O'Neill,DevOps Platform,2026-07-01,2026-06-29,2026-08-21 08:47:19,Pipeline reconfigured to retrieve credential via CCP at runtime
CyberArk Privilege Cloud (SaaS),15_11,svc-ldapsync,ldap_sync,ldap01.corp.local,LDAP-Service,Directory-Safe,Application/Service Account,LDAP,Onboarded to Vault,Blocked,Medium,Maria Chen,Identity & Access,2026-08-25,,2026-08-19 09:30:02,Blocked: dependent sync job requires config update before rotation can be tested
CyberArk Self-Hosted Vault,422_7,backupadmin,backupadmin,backup-mgr-01.corp.local,Unix-BackupAdmin,Backup-Safe,Local/OS Account,Local OS,Verified / Compliant,Complete,Medium,Devon Ashworth,Infrastructure,2026-04-15,2026-04-10,2026-08-05 06:12:37,Included in quarterly entitlement recertification
